smiles,MinAbsEStateIndex,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi4n,HallKierAlpha,PEOE_VSA1,PEOE_VSA2,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SMR_VSA6,SlogP_VSA1,SlogP_VSA3,SlogP_VSA5,EState_VSA1,EState_VSA9,VSA_EState1,FractionCSP3,HeavyAtomCount,NumAromaticCarbocycles,NumRotatableBonds,NumSaturatedRings,MolLogP,fr_Al_OH,fr_Al_OH_noTert,fr_C_S,fr_bicyclic,fr_oxazole,value
*CC(*)C,0.75,3.0,3.333333333333333,2.5395388613593908,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,6.923737199690624,0.0,0.0,1.525462962962963,1.0,3,0,1,0,1.3117,0,0,0,0,0,0.4343
*CC(*)F,0.0833333333333333,3.0,3.333333333333333,2.5395388613593908,0.0,-0.07,0.0,0.0,0.0,0.0,13.598328171965532,0.0,0.0,0.0,0.0,0.0,0.0,12.087962962962964,1.0,3,0,1,0,0.7988999999999999,0,0,0,0,0,0.874
*CC(*)(F)F,0.0277777777777776,2.25,2.5,3.168489872670569,0.0,-0.14,0.0,0.0,0.0,0.0,13.349181944549816,0.0,0.0,0.0,0.0,6.425444744859191,0.0,22.54861111111111,1.0,4,0,1,0,1.0961,0,0,0,0,0,1.1415
*C(F)C(*)(F)F,0.7638888888888888,2.0,2.2,3.541196965079901,0.0,-0.21,0.0,0.0,0.0,0.0,13.100035717134098,0.0,0.0,0.0,0.0,13.100035717134098,0.0,33.0625,1.0,5,0,1,0,0.9734,0,0,0,0,0,1.524
*CCC(F)(F)C(*)(F)F,0.1550694444444444,1.375,2.0,4.101783752547981,0.0944911182523067,-0.28,0.0,0.0,0.0,0.0,25.692532735570403,0.0,0.0,0.0,6.4208216229260096,18.76879553587978,0.0,46.99173611111111,1.0,8,0,3,0,2.1215,0,0,0,0,0,0.4489
*CO*,0.3194444444444444,3.5,4.0,1.9747448713915892,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,5.106527394840706,0.0,0.0,5.106527394840706,0.9166666666666666,1.0,2,0,1,0,-0.0258999999999999,0,0,0,0,0,0.9897
*CCO*,0.2881944444444444,2.6666666666666665,3.6666666666666665,2.19060968716425,0.0,-0.04,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,5.106527394840706,0.0,0.0,5.106527394840706,0.9513888888888888,1.0,3,0,2,0,0.4349,0,0,0,0,0,0.3936
*CC(O*)C(F)(F)F,0.173912037037037,1.8571428571428568,2.4285714285714284,3.792907831779043,0.0,-0.25,0.0,0.0,0.0,0.0,19.2040021048824,0.0,0.0,5.106527394840706,0.0,12.280264905191778,0.0,34.30439814814815,1.0,7,0,2,0,1.3658,0,0,0,0,0,0.7546
*CCCO*,0.2681944444444444,2.25,3.5,2.3390923149762908,0.0,-0.04,0.0,0.0,0.0,0.0,13.344558822616634,6.606881964512918,0.0,5.106527394840706,6.4208216229260096,0.0,5.106527394840706,0.9563888888888888,1.0,4,0,3,0,0.825,0,0,0,0,0,0.5672
*Oc1ccc(Cc2ccc(*)cc2)cc1,0.0065856592101178,0.9285714285714286,2.071428571428572,2.1088517120273824,1.3822705646124973,-1.7599999999999998,0.0,0.0,0.0,6.06636706846161,6.4208216229260096,0.0,11.172894463302317,6.4208216229260096,11.126902983393991,0.0,5.106527394840706,0.3552665908726513,0.0769230769230769,14,2,3,0,2.2951000000000006,0,0,0,0,0,1.1795
*CCCCCOCO*,0.1051161344167296,1.375,3.125,2.6476048489438337,0.4398264056274472,-0.08,0.0,0.0,0.0,0.0,26.186202068468653,13.399824270612744,0.0,9.843390348640757,19.26246486877803,0.0,9.843390348640757,5.959772770219199,1.0,8,0,7,0,1.5793,0,0,0,0,0,0.5413
*CCOC(=O)NCCOCCOCCNC(=O)O*,0.3086281244358215,0.9444444444444444,2.111111111111111,3.130180123606886,0.9162277998576254,-1.54,0.0,0.0,0.0,12.18648014187683,6.923737199690624,46.123922634389736,10.633577208012662,19.31711625624085,0.0,0.0,14.210588861400147,15.320987853551191,0.8,18,0,11,0,-0.0960999999999998,0,0,0,0,0,0.573
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,0.0186794463219426,0.8888888888888888,2.555555555555556,1.912951970395641,1.887438177111061,-2.62,0.0,0.0,0.0,34.659448285769145,0.0,0.0,12.460006567252131,0.0,0.0,0.0,8.834301874106695,11.710149873208136,0.0,18,2,1,0,1.9852,0,0,0,2,2,3.0398
*CCCCCS*,0.6607681405895691,1.5,3.1666666666666665,2.53006045688352,0.2788387679126025,0.35,0.0,0.0,0.0,12.628789148012991,26.186202068468653,5.752853606746789,0.0,0.0,19.26246486877803,0.0,0.0,1.398066893424036,1.0,6,0,5,0,2.3218000000000005,0,0,0,0,0,0.5118
*Sc1ccc(*)cc1,0.4362962962962963,1.4285714285714286,2.7142857142857144,2.881555877646136,0.3716025825849637,-0.43,0.0,0.0,0.0,18.6951562164746,4.895483475517775,0.0,6.06636706846161,0.0,0.0,0.0,0.0,0.9303703703703704,0.0,7,1,1,0,1.4176,0,0,0,0,0,2.0372
*CCOC(=O)CCCCC(=O)O*,0.1085874643067099,1.25,2.5,3.2674643165825263,0.7246793685588859,-1.06,0.0,0.0,0.0,11.9386105759037,32.60702369139466,6.606881964512918,0.0,19.432464716784395,25.68328649170404,0.0,9.843390348640757,5.025250094221956,0.75,12,0,7,0,1.0651,0,0,0,0,0,1.0754
*CCOC(=O)CCCCCCC(=O)O*,0.0464300767240879,1.0714285714285714,2.2857142857142856,3.201364976875434,1.0782327591521597,-1.06,0.0,0.0,0.0,11.9386105759037,45.448666937246685,6.606881964512918,0.0,19.432464716784395,38.524929737556064,0.0,9.843390348640757,5.132032968159827,0.8,14,0,9,0,1.8453,0,0,0,0,0,0.8924
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.2941312128361188,1.2142857142857142,2.2857142857142856,2.706325568943869,0.9184244307915448,-1.84,0.0,0.0,0.0,11.9386105759037,6.923737199690624,6.606881964512918,0.0,9.843390348640757,20.715977351537635,0.0,9.843390348640757,4.928380264499943,0.2,14,1,4,0,1.4321,0,0,0,0,0,2.2723
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.3005896834680199,1.125,2.3125,2.511191897655054,1.0926552870562138,-1.84,0.0,0.0,0.0,11.9386105759037,19.765380445542643,6.606881964512918,0.0,9.843390348640757,33.55762059738965,0.0,9.843390348640757,5.221864097645087,0.3333333333333333,16,1,6,0,2.2123,0,0,0,0,0,2.4936
*CC(=O)O*,0.0648148148148151,2.75,3.5,2.9881608821342693,0.0,-0.53,0.0,0.0,0.0,5.969305287951849,6.923737199690624,0.0,0.0,9.901064578912528,0.0,0.0,0.0,0.1643518518518519,0.5,4,0,1,0,-0.0385,0,0,0,0,0,1.2063
*CCCCCC(=O)O*,0.0445776643990933,1.625,3.125,2.9617756061821483,0.4461142625940432,-0.53,0.0,0.0,0.0,5.969305287951849,32.60702369139466,0.0,0.0,9.901064578912528,25.68328649170404,0.0,5.106527394840706,0.4506580687830688,0.8333333333333334,8,0,5,0,1.5219,0,0,0,0,0,0.5062
*CCC(=O)O*,0.0509259259259262,2.4,3.4,3.002590528674132,0.0,-0.53,0.0,0.0,0.0,5.969305287951849,13.344558822616634,0.0,0.0,9.901064578912528,6.4208216229260096,0.0,0.0,0.3124537037037038,0.6666666666666666,5,0,2,0,0.3515999999999999,0,0,0,0,0,0.7562
*Oc1ccc(CC(*)=O)cc1,0.0172874149659865,1.6,2.8,2.709147824373649,0.6906381763138129,-1.31,0.0,0.0,0.0,6.286160523129555,6.4208216229260096,0.0,5.106527394840706,11.21535880699783,5.563451491696996,0.0,5.106527394840706,-0.1360664682539683,0.125,10,1,3,0,1.1481,0,0,0,0,0,1.5033
*Cc1ccc(C(=O)O*)cc1,0.1484315948601657,1.6,2.8,2.843524062030637,0.6408284278600322,-1.31,0.0,0.0,0.0,5.969305287951849,6.923737199690624,0.0,0.0,12.03026459453133,15.921440167465814,0.0,5.106527394840706,0.1582752267573695,0.125,10,1,2,0,1.357,0,0,0,0,0,2.2574
*CCC(=O)N*,0.1246759259259259,2.4,3.4,3.002590528674132,0.0,-0.53,0.0,0.0,0.0,5.907179729351506,13.344558822616634,0.0,5.733667477162185,4.794537184071822,6.4208216229260096,0.0,0.0,0.6024537037037038,0.6666666666666666,5,0,2,0,-0.0754,0,0,0,0,0,1.1904
