smiles,MolWt,HeavyAtomMolWt,ExactMolWt,Chi0,Chi3v,Chi4v,HallKierAlpha,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA9,VSA_EState1,VSA_EState6,VSA_EState9,FractionCSP3,NHOHCount,MolLogP,fr_C_O,fr_C_S,fr_NH0,fr_alkyl_halide,fr_ketone_Topliss,fr_piperzine,energy
*CC(*)C,42.081,36.033,42.046950192,4.284457050376173,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,13.344558822616634,0.0,0.0,0.0,0.0,1.525462962962963,0.0,0.0,1.0,0,1.3117,0,0,0,0,0,0,7.6997
*CC(*)CC,56.10799999999999,48.044,56.062600256,4.99156383156272,0.2886751345948128,0.0,0.0,0.0,0.0,0.0,26.689117645233267,0.0,13.344558822616634,0.0,0.0,0.0,0.0,1.5097685185185186,0.0,0.0,1.0,0,1.7018,0,0,0,0,0,0,7.9012
*CC(*)CCC,70.13499999999999,60.05499999999999,70.07825032,5.698670612749268,0.4927992798267443,0.2041241452319314,0.0,0.0,0.0,0.0,33.10993926815928,0.0,13.344558822616634,0.0,0.0,0.0,0.0,1.4932407407407409,0.0,0.0,1.0,0,2.0919,0,0,0,0,0,0,7.2705
*CC1CCC(*)C1,82.14599999999999,72.06599999999999,82.07825032,5.983127663125442,1.2790391023624612,0.8249579113843054,0.0,0.0,0.0,5.917906046161393,32.60702369139466,0.0,13.344558822616634,0.0,0.0,0.0,0.0,1.475601851851852,0.0,0.0,1.0,0,2.0919,0,0,0,0,0,0,7.9703
*CC(*)CCCC1CCCCC1,152.28099999999998,132.12099999999998,152.15650064,9.518661569058182,2.7453655975512468,2.026678633063271,0.0,0.0,0.0,5.917906046161393,64.71113180602472,0.0,13.344558822616634,0.0,0.0,0.0,0.0,1.4358909674981104,0.0,0.0,1.0,0,4.042400000000003,0,0,0,0,0,0,7.5725
*C(*)C,28.054,24.022,28.031300128,3.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,6.923737199690624,0.0,0.0,0.0,0.0,1.6111111111111112,0.0,0.0,1.0,0,0.8509,0,0,0,0,0,0,7.4047
*C=C*,26.038,24.022,26.015650064,3.414213562373095,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2777777777777777,0.0,0.0,0.0,0,0.5562,0,0,0,0,0,0,0.9567
*C=CCCCC*,82.146,72.06599999999999,82.07825032,6.242640687119286,0.6207908118985981,0.2621886974951643,-0.26,0.0,0.0,0.0,26.186202068468653,0.0,6.923737199690624,0.0,0.0,0.0,0.0,1.2835544217687076,0.0,0.0,0.6666666666666666,0,2.1873000000000005,0,0,0,0,0,0,5.7962
*C1CCC1*,54.092000000000006,48.044,54.046950192,4.568914100752346,0.6666666666666667,0.1666666666666666,0.0,0.0,0.0,0.0,25.68328649170404,0.0,12.84164324585202,0.0,0.0,0.0,0.0,1.585648148148148,0.0,0.0,1.0,0,1.4558,0,0,0,0,0,0,6.5419
*CC1(*)CCCCC1,96.173,84.07699999999998,96.093900384,6.742640687119287,1.560660171779821,1.0517766952966363,0.0,0.0,0.0,0.0,44.94575136048206,0.0,12.841643245852016,0.0,0.0,0.0,0.0,1.419166666666667,0.0,0.0,1.0,0,2.626100000000001,0,0,0,0,0,0,7.3387
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,204.269,188.141,204.115029752,12.836498814253964,1.92984913872824,1.0809724635538216,-1.31,5.969305287951849,0.0,5.917906046161393,27.19203322199788,4.736862953800049,6.923737199690624,0.0,26.3,5.969305287951849,4.736862953800049,6.106411327769552,8.071284958427816,0.0,0.4615384615384615,0,3.057400000000001,1,0,0,0,0,0,4.8032
*CC(*)O,44.053,40.021,44.026214748,4.284457050376173,0.0,0.0,-0.04,0.0,0.0,0.0,13.530619164203545,0.0,6.923737199690624,0.0,20.23,6.606881964512918,5.106527394840706,0.8310185185185186,0.0,0.0,1.0,1,-0.1783,0,0,0,0,0,0,7.5488
*CC(*)C#N,53.06399999999999,50.04,53.026549096,4.99156383156272,0.0912870929175276,0.0,-0.51,0.0,0.0,0.0,13.344558822616634,0.0,13.344558822616634,0.0,23.79,0.0,5.261891554738487,0.9261574074074074,2.2881944444444446,0.0,0.6666666666666666,0,0.81538,0,0,1,0,0,0,7.4435
*CC(*)(C)C#N,67.091,62.051,67.04219916,5.914213562373096,0.1908603403791989,0.0,-0.51,0.0,0.0,0.0,19.76538044554264,0.0,12.841643245852016,0.0,23.79,5.917906046161393,5.261891554738487,0.7826388888888889,2.364583333333333,0.0,0.75,0,1.20548,0,0,1,0,0,0,7.1863
*CC(*)OC(C)=O,86.08999999999999,80.04199999999999,86.036779432,6.568914100752346,0.2492969859635601,0.1173540242053219,-0.53,5.969305287951849,0.0,0.0,20.454356363894167,9.53140013787187,6.923737199690624,0.0,26.3,5.969305287951849,4.736862953800049,5.656296296296296,0.0,0.0,0.75,0,0.3924999999999999,1,0,0,0,0,0,5.9373
*CC(*)CCc1ccc(C)cc1,146.23299999999998,132.12099999999998,146.109550448,9.681798275874712,1.757739286979418,1.0234744036547103,-0.78,0.0,0.0,0.0,33.10993926815928,6.4208216229260096,13.344558822616634,0.0,0.0,0.0,0.0,1.3064023263626436,9.064587112622828,0.0,0.4545454545454545,0,3.2330200000000016,0,0,0,0,0,0,4.5772
