smiles,BalabanJ,Chi1n,Chi1v,HallKierAlpha,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,VSA_EState2,VSA_EState6,FractionCSP3,NHOHCount,NOCount,NumAromaticCarbocycles,NumHAcceptors,NumRotatableBonds,MolLogP,fr_C_S,fr_diazo,fr_ester,fr_ketone,fr_nitro,fr_quatN,fr_unbrch_alkane,energy
*C*,1.6329931618554523,0.0,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,1.0,0,0,0,0,0,0.4608,0,0,0,0,0,0,0,6.8972
*CC(*)C,2.5395388613593908,0.9855985596534887,0.9855985596534887,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,0.0,1.0,0,0,0,0,1,1.3117,0,0,0,0,0,0,0,6.5196
*CC(*)CC,2.7541847860376616,1.5236033621142735,1.5236033621142735,0.0,0.0,0.0,0.0,26.689117645233267,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,0.0,1.0,0,0,0,0,2,1.7018,0,0,0,0,0,0,0,6.517
*CC(*)CCC,2.831819966070785,2.0236033621142733,2.0236033621142733,0.0,0.0,0.0,0.0,33.10993926815928,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,0.0,1.0,0,0,0,0,3,2.0919,0,0,0,0,0,0,0,6.7336
*CC(*)CC(C)C,3.0988280941131414,2.3794454097708404,2.3794454097708404,0.0,0.0,0.0,0.0,33.61285484492389,0.0,0.0,0.0,0.0,5.917906046161393,13.344558822616634,0.0,0.0,1.0,0,0,0,0,3,2.3379000000000003,0,0,0,0,0,0,0,6.7394
*CC1CCC(*)C1,2.218336754489984,2.541241452319315,2.541241452319315,0.0,0.0,0.0,0.0,32.60702369139466,0.0,0.0,0.0,0.0,5.917906046161393,13.344558822616634,0.0,0.0,1.0,0,0,0,0,1,2.0919,0,0,0,0,0,0,0,6.9613
*CC(*)CCCC1CCCCC1,1.9756005925238305,5.041241452319315,5.041241452319315,0.0,0.0,0.0,0.0,64.71113180602472,0.0,0.0,0.0,0.0,5.917906046161393,13.344558822616634,0.0,0.0,1.0,0,0,0,0,5,4.042400000000003,0,0,0,0,0,0,0,6.3703
*C=CCCC*,2.689157411839952,1.7415816237971962,1.7415816237971962,-0.26,0.0,0.0,0.0,19.765380445542643,12.654955790432378,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.6,0,0,0,0,3,1.7972,0,0,0,0,0,0,1,4.6373
*C=CCC*,2.658099936249019,1.2415816237971962,1.2415816237971962,-0.26,0.0,0.0,0.0,13.344558822616634,12.654955790432378,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.5,0,0,0,0,2,1.4071,0,0,0,0,0,0,0,5.2133
*C=C*,2.549193338482967,0.3333333333333334,0.3333333333333334,-0.26,0.0,0.0,0.0,0.0,13.157871367196996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5562,0,0,0,0,0,0,0,1.3994
*CCC(C)C(*)C,3.170819357347939,2.396282162176448,2.396282162176448,0.0,0.0,0.0,0.0,33.61285484492389,0.0,0.0,0.0,0.0,5.917906046161393,13.344558822616634,0.0,0.0,1.0,0,0,0,0,3,2.3379000000000003,0,0,0,0,0,0,0,6.6781
*C=CCCCCCCCC*,2.81386402771292,4.241581623797196,4.241581623797196,-0.26,0.0,0.0,0.0,51.8694885601727,12.654955790432378,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.8,0,0,0,0,8,3.747700000000002,0,0,0,0,0,0,6,5.8277
*C=CCCCCCCCCCC*,2.848952026101768,5.241581623797196,5.241581623797196,-0.26,0.0,0.0,0.0,64.71113180602472,12.654955790432378,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.8333333333333334,0,0,0,0,10,4.527900000000003,0,0,0,0,0,0,8,5.8787
