smiles,SlogP_VSA10,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,VSA_EState1,VSA_EState10,VSA_EState8,FractionCSP3,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumHDonors,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,fr_C_O_noCOO,fr_C_S,fr_imide,fr_ketone,fr_oxazole,fr_thiophene,value
*CC(*)C,0.0,0.0,0.0,6.923737199690624,13.344558822616634,1.525462962962963,0.0,4.0625,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.185
*CC(*)F,4.39041504767482,0.0,0.0,0.0,6.923737199690624,12.087962962962964,0.0,0.7453703703703702,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.6332
*CC(*)(F)F,8.78083009534964,0.0,0.0,0.0,6.923737199690624,22.54861111111111,0.0,0.2986111111111111,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1531
*C(F)C(*)(F)F,13.17124514302446,0.0,0.0,0.0,0.0,33.0625,0.0,-1.6736111111111118,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.5986
*CCC(F)(F)C(*)(F)F,17.56166019069928,0.0,0.0,6.4208216229260096,6.923737199690624,46.99173611111111,0.0,0.3559027777777777,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,9.0178
*CO*,0.0,5.106527394840706,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,7.5826
*CCO*,0.0,5.106527394840706,0.0,0.0,6.923737199690624,0.9513888888888888,0.0,2.545138888888889,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,7.0344
*CC(O*)C(F)(F)F,13.17124514302446,5.106527394840706,0.0,0.0,6.923737199690624,34.30439814814815,0.0,0.2847222222222223,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,7.9431
*CCCO*,0.0,5.106527394840706,0.0,6.4208216229260096,6.923737199690624,0.9563888888888888,0.0,2.606805555555556,1.0,1,0,0,0,3,0,0,0,0,0,0,0,0,6.904
*Oc1ccc(Cc2ccc(*)cc2)cc1,0.0,6.4208216229260096,0.0,11.126902983393991,0.0,0.3552665908726513,0.0,0.0,0.0769230769230769,1,0,0,0,3,0,0,0,0,0,0,0,0,6.1428
*CCCCCOCO*,0.0,9.843390348640757,0.0,19.26246486877803,6.923737199690624,5.959772770219199,0.0,3.0166242283950613,1.0,2,0,0,0,7,0,0,0,0,0,0,0,0,6.9158
*CCOC(=O)NCCOCCOCCNC(=O)O*,9.589074368143644,19.31711625624085,0.0,0.0,6.923737199690624,15.320987853551191,0.0,4.164068293044167,0.8,8,0,0,2,11,0,0,2,0,0,0,0,0,7.1012
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,0.0,0.0,0.0,0.0,0.0,11.710149873208136,0.0,0.0,0.0,4,0,0,0,1,0,0,0,0,0,0,2,0,5.6689
*CCCCCS*,0.0,0.0,0.0,19.26246486877803,6.923737199690624,1.398066893424036,2.2224697656840515,1.625944822373394,1.0,0,0,0,0,5,0,0,0,0,0,0,0,0,5.7733
*Sc1ccc(*)cc1,0.0,0.0,0.0,0.0,0.0,0.9303703703703704,2.055277777777777,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1739
*CCOC(=O)CCCCC(=O)O*,0.0,19.432464716784395,0.0,25.68328649170404,6.923737199690624,5.025250094221956,0.0,1.7025260071251234,0.75,4,0,0,0,7,0,0,2,0,0,0,0,0,7.8277
*CCOC(=O)CCCCCCC(=O)O*,0.0,19.432464716784395,0.0,38.524929737556064,6.923737199690624,5.132032968159827,0.0,1.7549680687093274,0.8,4,0,0,0,9,0,0,2,0,0,0,0,0,7.7636
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.0,9.843390348640757,0.0,20.715977351537635,6.923737199690624,4.928380264499943,0.0,1.563473427760044,0.2,4,0,0,0,4,0,0,2,0,0,0,0,0,7.1539
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.0,9.843390348640757,0.0,33.55762059738965,6.923737199690624,5.221864097645087,0.0,1.8305235195015208,0.3333333333333333,4,0,0,0,6,0,0,2,0,0,0,0,0,7.6583
*CC(=O)O*,0.0,9.901064578912528,0.0,0.0,6.923737199690624,0.1643518518518519,0.0,0.7812499999999999,0.5,2,0,0,0,1,0,0,1,0,0,0,0,0,8.2018
*CCCCCC(=O)O*,0.0,9.901064578912528,0.0,25.68328649170404,6.923737199690624,0.4506580687830688,0.0,1.4751216458805745,0.8333333333333334,2,0,0,0,5,0,0,1,0,0,0,0,0,7.458
*CCC(=O)O*,0.0,9.901064578912528,0.0,6.4208216229260096,6.923737199690624,0.3124537037037038,0.0,1.1577314814814814,0.6666666666666666,2,0,0,0,2,0,0,1,0,0,0,0,0,7.7853
*Oc1ccc(CC(*)=O)cc1,0.0,11.21535880699783,0.0,5.563451491696996,0.0,-0.1360664682539683,0.0,0.0,0.125,2,0,0,0,3,0,0,1,0,0,0,0,0,6.3961
*Cc1ccc(C(=O)O*)cc1,0.0,12.03026459453133,0.0,15.921440167465814,0.0,0.1582752267573695,0.0,1.25317720143613,0.125,2,0,0,0,2,0,0,1,0,0,0,0,0,7.179
*CCC(=O)N*,0.0,4.794537184071822,0.0,6.4208216229260096,6.923737199690624,0.6024537037037038,0.0,1.2202314814814814,0.6666666666666666,2,0,0,1,2,0,0,1,0,0,0,0,0,6.8452
*CCCCCCC(=O)N*,0.0,4.794537184071822,0.0,32.10410811463005,6.923737199690624,0.7276898305618543,0.0,1.526208978961955,0.8571428571428571,2,0,0,1,6,0,0,1,0,0,0,0,0,6.5849
