smiles,MinAbsEStateIndex,BalabanJ,Chi1n,Chi3v,HallKierAlpha,PEOE_VSA14,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,VSA_EState9,FractionCSP3,fr_C_S,fr_benzene,value
*CC(*)C,0.75,2.5395388613593908,0.9855985596534887,0.0,0.0,20.268296022307258,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.6081
*CC(*)F,0.0833333333333333,2.5395388613593908,0.6264661806998554,0.0,-0.07,17.98874321964035,0.0,13.598328171965532,0.0,4.39041504767482,0.0,6.674590972274908,0.0,0.0,1.0,0,0,1.6305
*CC(*)(F)F,0.0277777777777776,3.168489872670569,0.731517863602501,0.0,-0.14,22.13001203989945,0.0,13.349181944549816,0.0,8.78083009534964,0.0,6.425444744859191,0.0,0.0,1.0,0,0,1.6122
*C(F)C(*)(F)F,0.7638888888888888,3.541196965079901,0.8848574978400325,0.0824786098842322,-0.21,26.27128086015856,0.0,13.100035717134098,0.0,13.17124514302446,0.0,13.100035717134098,0.0,0.0,1.0,0,0,1.5796
*CCC(F)(F)C(*)(F)F,0.1550694444444444,4.101783752547981,1.859482336611728,0.5904700003179685,-0.28,43.25419292626969,0.0,25.692532735570403,0.0,17.56166019069928,0.0,12.347973912953767,0.0,0.0,1.0,0,0,1.5774
*CO*,0.3194444444444444,1.9747448713915892,0.2886751345948129,0.0,-0.04,12.21632493611824,0.0,0.0,0.0,0.0,0.0,7.109797541277533,5.106527394840706,1.1805555555555556,1.0,0,0,1.6434
*CCO*,0.2881944444444444,2.19060968716425,0.7886751345948129,0.0,-0.04,18.637146559044247,0.0,6.923737199690624,0.0,0.0,0.0,6.606881964512918,5.106527394840706,0.0,1.0,0,0,1.6377
*CC(O*)C(F)(F)F,0.173912037037037,3.792907831779043,1.4995723949680329,0.36508564589935,-0.25,37.48177464274757,0.0,19.2040021048824,0.0,13.17124514302446,0.0,12.280264905191778,5.106527394840706,0.0,1.0,0,0,1.4843
*CCCO*,0.2681944444444444,2.3390923149762908,1.2886751345948126,0.1443375672974064,-0.04,25.05796818197026,0.0,13.344558822616634,0.0,0.0,0.0,6.606881964512918,5.106527394840706,0.0,1.0,0,0,1.6476
*Oc1ccc(Cc2ccc(*)cc2)cc1,0.0065856592101178,2.1088517120273824,4.553965336510317,2.1188692669956835,-1.7599999999999998,83.00106745059912,0.0,6.4208216229260096,59.65783953108687,0.0,5.749511833283905,0.0,6.4208216229260096,0.0,0.0769230769230769,0,2,1.8035
